,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party_x,Democrats_x,Republicans_x,Winning Party_y,Democrats_y,Republicans_y
0,California,6,1,0,22.9,Democrats,True,False,Democrats,True,False
1,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
2,California,6,2,0,22.9,Democrats,True,False,Democrats,True,False
3,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
4,California,6,2,0,22.9,Democrats,True,False,Democrats,True,False
5,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
6,California,6,2,0,22.9,Democrats,True,False,Democrats,True,False
7,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
8,California,6,2,0,22.9,Democrats,True,False,Democrats,True,False
9,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
10,California,6,2,0,22.9,Democrats,True,False,Democrats,True,False
11,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
12,California,6,3,0,22.9,Democrats,True,False,Democrats,True,False
13,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
14,California,6,3,0,22.9,Democrats,True,False,Democrats,True,False
15,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
16,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
17,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
18,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
19,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
20,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
21,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
22,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
23,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
24,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
25,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
26,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
27,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
28,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
29,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
30,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
31,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
32,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
33,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
34,California,6,6,0,22.9,Democrats,True,False,Democrats,True,False
35,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
36,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
37,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
38,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
39,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
40,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
41,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
42,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
43,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
44,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
45,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
46,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
47,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
48,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
49,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
50,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
51,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
52,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
53,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
54,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
55,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
56,Wisconsin,55,1,0,29.7,Republicans,False,True,Republicans,False,True
57,Arizona,4,1,0,33.0,Republicans,False,True,Republicans,False,True
58,California,6,7,0,22.9,Democrats,True,False,Democrats,True,False
